url,whatcms_link,Blog_CMS,E-commerce_CMS,Programming_Language,Database,CDN,Web_Server,Landing_Page_Builder_CMS,Operating_System,Web_Framework,whatcms_response
feetcare.sg,https://whatcms.org/API/Tech?key=wl7oucnc8wvt5f31z1a3mps31c0gkbwp8v7nh0jbgkcf2u58fg79b5boqx4ftdz6bw0p7s&url=feetcare.sg,WordPress 6.8.3,WooCommerce 10.3.3,,MySQL,,,,,,200 - Success
fullhealth.store,https://whatcms.org/API/Tech?key=wl7oucnc8wvt5f31z1a3mps31c0gkbwp8v7nh0jbgkcf2u58fg79b5boqx4ftdz6bw0p7s&url=fullhealth.store,,,,,,,,,,202 - Requested Url Was Unavailable
silroc.com.hk,https://whatcms.org/API/Tech?key=wl7oucnc8wvt5f31z1a3mps31c0gkbwp8v7nh0jbgkcf2u58fg79b5boqx4ftdz6bw0p7s&url=silroc.com.hk,,,,,,,,,,202 - Requested Url Was Unavailable
DomainSoftwares.com,https://whatcms.org/API/Tech?key=wl7oucnc8wvt5f31z1a3mps31c0gkbwp8v7nh0jbgkcf2u58fg79b5boqx4ftdz6bw0p7s&url=DomainSoftwares.com,WordPress,WooCommerce 10.3.3,,MySQL,Cloudflare,,,,,200 - Success
juliekuok.com,https://whatcms.org/API/Tech?key=wl7oucnc8wvt5f31z1a3mps31c0gkbwp8v7nh0jbgkcf2u58fg79b5boqx4ftdz6bw0p7s&url=juliekuok.com,,,,,,,,,,200 - Success
SWIMAVA.COM,https://whatcms.org/API/Tech?key=wl7oucnc8wvt5f31z1a3mps31c0gkbwp8v7nh0jbgkcf2u58fg79b5boqx4ftdz6bw0p7s&url=SWIMAVA.COM,,,,,,,,,,200 - Success
swimava.hk,https://whatcms.org/API/Tech?key=wl7oucnc8wvt5f31z1a3mps31c0gkbwp8v7nh0jbgkcf2u58fg79b5boqx4ftdz6bw0p7s&url=swimava.hk,,,,,,,,,,200 - Success
voxretail.com.sg,https://whatcms.org/API/Tech?key=wl7oucnc8wvt5f31z1a3mps31c0gkbwp8v7nh0jbgkcf2u58fg79b5boqx4ftdz6bw0p7s&url=voxretail.com.sg,,,,,,,,,,202 - Requested Url Was Unavailable
haoyikang.sg,https://whatcms.org/API/Tech?key=wl7oucnc8wvt5f31z1a3mps31c0gkbwp8v7nh0jbgkcf2u58fg79b5boqx4ftdz6bw0p7s&url=haoyikang.sg,,,,,,,,,,200 - Success
stgindustrials.com,https://whatcms.org/API/Tech?key=wl7oucnc8wvt5f31z1a3mps31c0gkbwp8v7nh0jbgkcf2u58fg79b5boqx4ftdz6bw0p7s&url=stgindustrials.com,WordPress 6.7.4,WooCommerce 9.7.1,,MySQL,Hostinger CDN,,,,,200 - Success
